Timestamp,Your Sex?,Your Matric (grade 12) Average/ GPA (in %),What year were you in last year (2023) ?,What faculty does your degree fall under?,Your 2023 academic year average/GPA in % (Ignore if you are 2024 1st year student),Your Accommodation Status Last Year (2023),Monthly Allowance in 2023,Were you on scholarship/bursary in 2023?,Additional amount of studying (in hrs) per week,How often do you go out partying/socialising during the week? ,"On a night out, how many alcoholic drinks do you consume?","How many classes do you miss per week due to alcohol reasons, (i.e: being hungover or too tired?)",How many modules have you failed thus far into your studies?,Are you currently in a romantic relationship?,Do your parents approve alcohol consumption?,How strong is your relationship with your parent/s?
2024/03/07 5:20:48 pm EET,Female,82.6,2nd Year,Arts & Social Sciences,75.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,8+,3,1-3,0,0,Yes,Yes,Close
2024/03/07 5:20:52 pm EET,Female,78.0,1st Year,Economic & Management Sciences,78.0,Private accommodation/ stay with family/friends,R 8000+,No,1-3,3,5-8,2,0,Yes,Yes,Close
2024/03/07 5:20:55 pm EET,Female,65.0,2nd Year,Economic & Management Sciences,55.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,1,3-5,2,4+,Yes,Yes,Very close
2024/03/07 5:20:57 pm EET,Male,84.0,2nd Year,Economic & Management Sciences,70.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,1-3,1,8+,4+,0,Yes,Yes,Very close
2024/03/07 5:21:41 pm EET,Female,83.0,,Economic & Management Sciences,,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,1-3,Only weekends,1-3,0,0,No,Yes,Close
2024/03/07 5:22:13 pm EET,Female,80.0,,Economic & Management Sciences,,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,Only weekends,1-3,0,0,Yes,Yes,Very close
2024/03/07 5:22:34 pm EET,Female,80.0,,Arts & Social Sciences,,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,3-5,2,3-5,2,0,Yes,Yes,Very close
2024/03/07 5:22:36 pm EET,Male,81.0,2nd Year,Economic & Management Sciences,60.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,1-3,2,5-8,0,3,Yes,Yes,Very close
2024/03/07 5:22:40 pm EET,Male,76.0,1st Year,Arts & Social Sciences,61.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,3-5,1,1-3,0,0,Yes,Yes,Very close
2024/03/07 5:22:44 pm EET,Male,76.0,2nd Year,Economic & Management Sciences,63.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,8+,0,5-8,0,0,Yes,Yes,Close
2024/03/07 5:22:59 pm EET,Female,88.0,1st Year,Economic & Management Sciences,60.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,1-3,1,1-3,0,1,Yes,Yes,Very close
2024/03/07 5:23:11 pm EET,Male,75.0,2nd Year,Economic & Management Sciences,57.0,Private accommodation/ stay with family/friends,R 8000+,No,5-8,Only weekends,1-3,1,2,No,Yes,Close
2024/03/07 5:23:15 pm EET,Male,70.0,,Economic & Management Sciences,,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,3-5,1,3-5,0,0,No,Yes,Close
2024/03/07 5:24:22 pm EET,Female,70.0,1st Year,Economic & Management Sciences,,Non-private accommodation ie. Res,R 4001- R 5000,No,3-5,2,3-5,2,0,Yes,No,Very close
2024/03/07 5:24:55 pm EET,Male,84.0,1st Year,Science,74.0,Non-private accommodation ie. Res,R 4001- R 5000,No,1-3,1,1-3,0,0,No,Yes,Close
2024/03/07 5:25:13 pm EET,Male,98.0,1st Year,Engineering,89.0,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",1-3,Only weekends,8+,0,4+,Yes,No,Distant
2024/03/07 5:26:08 pm EET,Male,72.0,2nd Year,Arts & Social Sciences,76.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,1,1-3,0,0,Yes,Yes,Close
2024/03/07 5:26:12 pm EET,Female,84.0,1st Year,Medicine and Health Services,80.0,Non-private accommodation ie. Res,R 6001 - R 7000,No,8+,Only weekends,5-8,2,0,No,Yes,Very close
2024/03/07 5:26:29 pm EET,Male,85.0,2nd Year,Economic & Management Sciences,66.0,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",8+,1,8+,4+,0,Yes,Yes,Fair
2024/03/07 5:28:19 pm EET,Female,84.0,1st Year,Medicine and Health Services,80.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,Only weekends,3-5,0,0,No,Yes,Very close
2024/03/07 5:28:30 pm EET,Female,90.0,2nd Year,Law,70.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,5-8,Only weekends,3-5,0,3,No,Yes,Very close
2024/03/07 5:30:10 pm EET,Female,72.0,3rd Year,Education,65.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,3-5,2,5-8,0,1,No,Yes,Very close
2024/03/07 5:30:18 pm EET,Female,78.0,1st Year,Science,75.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,5-8,3,3-5,2,0,No,Yes,Close
2024/03/07 5:31:19 pm EET,Female,83.0,2nd Year,Engineering,63.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,8+,Only weekends,3-5,0,0,No,Yes,Close
2024/03/07 5:31:56 pm EET,Female,85.0,1st Year,Economic & Management Sciences,80.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,8+,1,1-3,0,0,Yes,Yes,Very close
2024/03/07 5:34:04 pm EET,Female,81.0,2nd Year,,65.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,"Yes (NSFAS, etc...)",8+,Only weekends,3-5,1,1,No,Yes,Very close
2024/03/07 5:35:49 pm EET,Female,84.0,1st Year,Science,75.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,8+,1,3-5,3,0,Yes,Yes,Very close
2024/03/07 5:36:14 pm EET,Male,76.0,2nd Year,Science,65.0,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,8+,1,0,0,0,Yes,Yes,Very close
2024/03/07 5:36:30 pm EET,Female,80.0,2nd Year,Engineering,61.0,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,3-5,Only weekends,1-3,,0,Yes,Yes,Close
2024/03/07 5:36:45 pm EET,Female,73.0,,Arts & Social Sciences,,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",3-5,2,1-3,0,0,No,Yes,Very close
2024/03/07 5:37:16 pm EET,Male,85.0,4th Year,AgriSciences,76.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,5-8,2,8+,0,0,Yes,Yes,Very close
2024/03/07 5:37:18 pm EET,Female,84.0,2nd Year,Science,65.0,Non-private accommodation ie. Res,,"Yes (NSFAS, etc...)",5-8,1,1-3,0,0,Yes,Yes,Very close
2024/03/07 5:39:13 pm EET,Male,85.0,1st Year,Arts & Social Sciences,58.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,3-5,Only weekends,5-8,2,0,No,Yes,Very close
2024/03/07 5:39:33 pm EET,Female,75.0,2nd Year,Arts & Social Sciences,,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",5-8,Only weekends,1-3,0,2,Yes,,Very close
2024/03/07 5:39:33 pm EET,Female,98.33,2nd Year,Economic & Management Sciences,95.22,Non-private accommodation ie. Res,R 4001- R 5000,No,8+,1,0,0,0,No,Yes,Close
2024/03/07 5:41:22 pm EET,Female,70.0,1st Year,AgriSciences,60.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,5-8,3,1-3,0,1,No,No,Very close
2024/03/07 5:41:41 pm EET,Male,75.0,2nd Year,Economic & Management Sciences,65.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,8+,1,5-8,0,2,Yes,Yes,Very close
2024/03/07 5:43:23 pm EET,Female,76.0,2nd Year,Law,60.0,,R 4001- R 5000,No,1-3,3,5-8,2,0,No,Yes,Very close
2024/03/07 5:43:24 pm EET,Female,87.0,,Science,,,,,8+,Only weekends,1-3,0,0,No,Yes,Very close
2024/03/07 5:43:30 pm EET,Male,75.0,2nd Year,Economic & Management Sciences,58.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,3-5,2,8+,0,0,Yes,No,Very close
2024/03/07 5:45:25 pm EET,Male,86.0,3rd Year,AgriSciences,55.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,"Yes (NSFAS, etc...)",1-3,1,8+,1,3,No,Yes,Very close
2024/03/07 5:45:25 pm EET,Female,80.0,3rd Year,Medicine and Health Services,71.0,Private accommodation/ stay with family/friends,R 8000+,No,5-8,Only weekends,1-3,0,0,No,Yes,Very close
